Reference,AccountNumber,Description,Start Balance,Mutation,End Balance
445,NL91RABO0315273637,Clothes from Jan Bakker,21.6,-41.83,-20.23
3,NL27SNSB0917829871,Clothes for Willem Dekker,91.23,15.57,106.8
3433,NL69ABNA0433647324,Clothes for Jan King,55,44.5,131.16
64545,NL74ABNA0248990274,Subscription for Peter de Vries,92.98,-46.65,46.33
7866,NL69ABNA0433647324,Clothes for Richard de Vries,3,11,79.92
3343,NL93ABNA0585619023,Tickets from Richard Bakker,102.12,45.87,122
3433,NL43AEGO0773393871,Flowers from Jan Bakker,99.44,41.23,140.67
5756,NL93ABNA0585619023,Clothes for Vincent Bakker,23.96,-27.43,-3.47
3434,NL93ABNA0585619023,Clothes from Erik Bakker,94.25,41.6,135.85
5756,NL74ABNA0248990274,Flowers for Willem Dekker,12,48.98,75.3
232,NL27SNSB0917829871,Clothes for kumar Dekker,91.23,15.57,106.8
